Geneid	Length	Obp56h_KO_F_1	Obp56h_KO_F_2	CSB_F_1	CSB_F_2
FBgn0031081	4851	2666	1832	826	2222
FBgn0052826	72	14	6	7	15
FBgn0031085	1226	33	28	37	73
FBgn0062565	1164	0	0	3	8
FBgn0031088	3140	158	133	98	118
FBgn0041626	1164	1	0	5	8
FBgn0040784	466	3	0	6	9
FBgn0031086	981	6	2	14	4
FBgn0031082	1129	11	2	32	46
FBgn0031080	611	65	28	70	162
FBgn0052821	354	3	3	0	4
FBgn0053217	2227	210	150	115	309
FBgn0052350	2844	408	321	201	508
FBgn0024733	1235	9226	5537	4300	9557
FBgn0040372	7235	2709	1920	1002	2521
FBgn0000316	2110	697	529	277	739
FBgn0024989	4316	201	146	100	120
FBgn0040371	1055	136	52	38	50
FBgn0029521	1188	24	14	18	23
FBgn0004034	2038	30	17	32	12
FBgn0000022	917	0	0	4	2
FBgn0004170	1438	0	4	16	3
FBgn0002561	1097	0	1	10	4
FBgn0000137	2430	5	1	32	6
FBgn0029522	1051	0	0	0	0
FBgn0052817	885	13	7	6	40
FBgn0029524	787	29	35	10	48
FBgn0023536	2345	196	191	94	292
FBgn0023534	1344	577	506	223	546
FBgn0023535	1243	79	24	34	73
FBgn0023537	2231	2274	1315	920	2047
FBgn0029525	4342	376	238	195	428
FBgn0029523	2309	48	51	24	63
FBgn0010019	2279	297	270	72	184
FBgn0011822	1310	1	1	11	0
FBgn0052816	2406	328	278	173	294
FBgn0040370	4896	1823	1513	704	1885
FBgn0040373	1838	54	32	30	37
FBgn0000108	6383	42028	35388	15121	41288
FBgn0025640	1175	802	465	341	751
FBgn0025635	2256	215	169	109	261
FBgn0001341	3680	318	115	109	244
FBgn0003575	5047	1616	1177	675	1738
FBgn0025634	1550	464	309	171	492
FBgn0025638	1229	1609	1161	586	1280
FBgn0040383	1683	363	233	217	340
FBgn0040382	2193	13145	11104	4786	12632
FBgn0027343	3727	214	148	108	195
FBgn0025621	3915	829	489	314	859
FBgn0029535	475	14	7	10	28
FBgn0026874	1427	2	1	12	5
FBgn0025616	1802	0	0	8	4
FBgn0015799	3619	1061	865	410	947
FBgn0025620	1603	1983	1128	711	1648
FBgn0015288	1100	7952	5751	3169	10452
FBgn0029532	1565	15	13	20	12
FBgn0029531	1686	25	7	8	10
FBgn0025639	6211	6239	4426	2205	5859
FBgn0002579	686	56211	48830	26453	59753
FBgn0026879	387	1582	928	609	1259
FBgn0029529	499	267	167	107	223
FBgn0025633	5538	2109	1249	751	1879
FBgn0040892	516	34	27	35	55
FBgn0040341	881	82	51	22	79
FBgn0029539	647	8	11	7	8
FBgn0040339	602	241	222	127	216
FBgn0052815	3540	1466	1248	532	1382
FBgn0040340	2503	2259	1517	834	1928
FBgn0040347	2155	54	23	25	46
FBgn0042146	667	0	1	25	6
FBgn0029552	590	0	2	5	1
FBgn0040337	1412	199	124	78	189
FBgn0040398	1107	5927	3335	1901	4871
FBgn0040365	489	4	0	4	0
FBgn0040397	6593	5876	3256	12248	6975
FBgn0026143	2214	203	136	106	285
FBgn0040351	2462	1407	847	449	1223
FBgn0040338	462	1	0	3	0
FBgn0040350	2540	20	6	37	20
FBgn0040349	839	275	132	114	293
FBgn0040348	2496	763	474	278	718
FBgn0040346	1515	260	168	123	276
FBgn0040342	1545	5	10	12	0
FBgn0040345	1301	11	8	11	3
FBgn0040343	987	103	94	92	134
FBgn0052814	1664	62	58	72	74
FBgn0040364	2755	543	342	163	376
FBgn0040362	1387	0	1	18	4
FBgn0040361	1746	12	9	22	6
FBgn0040360	1413	36	16	43	43
FBgn0040359	2801	30	22	53	54
FBgn0040358	2579	18	14	33	30
FBgn0029568	1603	7	1	25	4
FBgn0040357	819	4	6	10	8
FBgn0040367	1884	4	2	22	7
FBgn0025642	1625	14	6	21	12
FBgn0004650	6581	9	15	42	10
FBgn0024362	2347	1293	820	534	1095
FBgn0024361	1037	39	21	14	31
FBgn0024364	2460	375	279	206	464
FBgn0029573	690	6	11	12	5
FBgn0024987	3676	5501	4299	2186	5633
FBgn0023169	2853	2629	1464	1033	2661
FBgn0052813	5252	1075	722	387	967
FBgn0024985	3799	5811	5210	2154	5922
FBgn0027794	3382	513	371	190	538
FBgn0027795	1713	78	75	21	54
FBgn0024986	831	973	772	355	1033
FBgn0000826	1114	2	1	4	5
FBgn0024365	3887	1000	630	370	915
FBgn0024360	2444	145	84	75	130
FBgn0024366	4720	54	23	83	68
FBgn0025641	6227	4694	3060	1621	4626
FBgn0052811	404	31	23	16	24
FBgn0028550	7025	6401	5613	2582	6110
FBgn0026876	2890	45	34	32	43
FBgn0040366	3018	130	93	89	170
FBgn0040363	2159	6	1	21	5
FBgn0040368	1638	2	3	15	3
FBgn0026872	1705	477	298	277	469
FBgn0029580	753	126	104	63	117
FBgn0025383	1082	6	0	5	6
FBgn0025381	2721	1591	1084	587	1340
FBgn0025394	4686	2202	1406	844	2011
FBgn0000482	3161	622	380	205	606
FBgn0001189	3038	770	512	340	705
FBgn0029587	3151	113	86	53	119
FBgn0024897	2139	163	111	71	145
FBgn0025391	3905	591	536	242	573
FBgn0025378	1247	3	3	5	4
FBgn0023130	2218	557	426	172	575
FBgn0023530	829	218	177	55	133
FBgn0025390	7661	3307	2544	1440	3291
FBgn0025393	457	0	0	0	0
FBgn0003517	1338	20306	10781	8773	21147
FBgn0044508	99	0	0	0	0
FBgn0025382	1564	118	104	66	134
FBgn0052808	1063	81	56	43	85
FBgn0027791	1634	154	100	63	129
FBgn0027793	870	1	2	1	6
FBgn0052806	803	48	21	15	32
FBgn0026873	865	125	65	91	120
FBgn0023513	3419	83	48	27	81
FBgn0014411	2543	2006	1476	705	1882
FBgn0023514	1704	574	443	238	625
FBgn0029594	1019	638	439	267	406
FBgn0023519	1076	169	122	65	168
FBgn0023509	3459	697	435	289	628
FBgn0023510	6716	4450	3303	1558	4338
FBgn0023508	3688	1757	1227	613	1631
FBgn0023522	1892	538	374	263	588
FBgn0023521	1105	130	83	72	169
FBgn0025627	1097	17	13	12	25
FBgn0025630	2070	145	73	63	128
FBgn0025629	923	161	111	80	211
FBgn0025628	3313	1351	863	511	1359
FBgn0029596	920	4	2	1	0
FBgn0025626	2664	633	413	209	579
FBgn0025625	5230	1644	1055	504	1514
FBgn0025631	3939	2704	2039	1005	2756
FBgn0026878	897	184	106	104	138
FBgn0000667	5272	6394	4407	2286	6893
FBgn0003964	3038	1835	1479	609	1571
FBgn0023545	1203	577	363	229	528
FBgn0023520	2341	157	55	41	98
FBgn0023512	2447	389	290	132	414
FBgn0023511	4752	1484	967	482	1440
FBgn0052801	937	0	0	0	0
FBgn0023518	8314	1934	1392	748	1944
FBgn0026088	620	678	513	264	659
FBgn0026089	920	291	287	119	230
FBgn0023517	1100	226	179	92	235
FBgn0023516	2230	547	354	182	490
FBgn0023515	3577	97	81	45	103
FBgn0028969	2170	1681	1318	551	1332
FBgn0026090	802	503	291	180	491
FBgn0029590	849	5	2	12	4
FBgn0025624	1240	201	135	84	233
FBgn0040395	4096	5457	3941	2114	5585
FBgn0000382	8732	19707	17227	7086	19410
FBgn0023507	2209	2937	1938	1466	3461
FBgn0004654	1895	2029	1113	511	1552
FBgn0023540	2031	1830	1370	637	1856
FBgn0025839	807	1236	712	488	1092
FBgn0011576	2467	0	0	0	0
FBgn0015036	1822	15	2	2	15
FBgn0003116	1638	253	184	95	257
FBgn0040899	534	248	153	78	159
FBgn0040900	680	58	34	33	46
FBgn0024984	1100	2	4	13	6
FBgn0023549	3197	728	503	312	639
FBgn0029606	893	4	7	17	14
FBgn0003048	12119	3288	2272	1238	3272
FBgn0000810	3052	860	652	410	939
FBgn0023523	1267	9	2	15	6
FBgn0023527	1921	236	157	103	273
FBgn0040391	1643	37	22	25	38
FBgn0053218	611	25	16	17	28
FBgn0003079	4247	1046	747	350	1088
FBgn0003159	5650	2628	2149	913	2619
FBgn0040389	653	245	163	101	186
FBgn0044047	2413	1300	1012	725	1499
FBgn0040392	1385	14	14	23	22
FBgn0023526	5574	2324	2016	1044	2315
FBgn0023529	3581	5847	4078	1792	5142
FBgn0023528	3064	2445	1733	813	2087
FBgn0027296	2163	1056	816	443	1165
FBgn0023524	3982	1988	1618	873	1536
FBgn0023525	1247	269	195	87	212
FBgn0000377	2332	545	332	178	594
FBgn0001330	3927	269	137	126	280
FBgn0004397	3933	3407	2462	1182	3427
FBgn0023550	1681	117	92	50	117
FBgn0029603	1853	80	35	29	68
FBgn0023542	1791	499	352	205	511
FBgn0023541	1694	4	0	2	1
FBgn0005670	2285	44	16	31	33
FBgn0004655	7054	3137	1970	1034	2834
FBgn0013432	748	755	587	334	673
FBgn0004861	6887	2049	1604	804	1918
FBgn0004860	6126	1518	1154	502	1554
FBgn0040394	1936	607	352	226	583
FBgn0040376	1212	65	31	27	71
FBgn0040066	1973	441	364	264	469
FBgn0001404	4662	10375	8547	4292	9586
FBgn0040336	2045	140	109	62	159
FBgn0040333	2427	7	1	16	9
FBgn0040334	1798	359	250	144	324
FBgn0029629	1027	3124	2032	1064	2650
FBgn0011566	1762	176	129	75	246
FBgn0011606	4527	73	44	50	92
FBgn0040375	1524	570	506	248	538
FBgn0040377	1294	216	167	119	264
FBgn0040388	5066	209	157	98	223
FBgn0003714	1596	486	381	179	539
FBgn0001150	1780	133	96	76	181
FBgn0052797	931	9	8	42	27
FBgn0040385	1537	2	8	24	6
FBgn0003371	12445	20936	21026	7835	21034
FBgn0003068	4527	2393	1696	808	2436
FBgn0024993	1765	97	52	51	73
FBgn0024996	1357	578	399	247	677
FBgn0024997	2283	456	292	176	373
FBgn0024991	3152	132	75	46	103
FBgn0000928	3502	3	2	13	4
FBgn0000927	2235	1	5	12	3
FBgn0000520	2002	271	141	110	280
FBgn0024975	1804	84	92	56	115
FBgn0040356	966	3	6	12	2
FBgn0003996	2352	18	10	13	27
FBgn0040384	2365	1393	1296	637	1428
FBgn0024980	1709	391	361	183	434
FBgn0000376	3886	884	876	338	899
FBgn0024973	2425	583	437	222	603
FBgn0024998	1952	452	336	202	493
FBgn0024995	1181	130	105	63	144
FBgn0024994	2217	232	155	85	192
FBgn0024992	3360	601	352	221	466
FBgn0000092	1013	17	7	11	23
FBgn0025838	946	5	0	3	13
FBgn0011276	1428	17	2	14	27
FBgn0004647	10150	3168	2263	1168	3323
FBgn0040396	931	306	173	106	297
FBgn0000479	16683	16716	15087	6582	16291
FBgn0002933	523	3	4	5	7
FBgn0003374	952	93	70	31	78
FBgn0029660	1758	27	10	12	33
FBgn0029662	2732	91	62	75	119
FBgn0029661	1518	37	14	31	43
FBgn0029659	1155	8	23	11	33
FBgn0029658	865	12	6	10	4
FBgn0052493	72	1	0	3	3
FBgn0029657	6541	70	40	88	122
FBgn0029656	1659	144	105	54	184
FBgn0003086	690	37	41	30	38
FBgn0010296	267	10	6	22	20
FBgn0010295	594	8	7	9	9
FBgn0010294	546	8	6	4	3
FBgn0040393	557	21	12	17	14
FBgn0000644	963	18	18	19	20
FBgn0028746	816	792	725	308	657
FBgn0040355	1200	21	14	29	27
FBgn0052793	2687	33	22	39	40
FBgn0029642	840	12	2	12	11
FBgn0025645	1047	16	13	10	10
FBgn0029643	1570	21	4	18	16
FBgn0029644	850	11	15	28	23
FBgn0029645	1048	14	3	12	17
FBgn0029646	1187	17	7	13	19
FBgn0029647	487	10	11	6	20
FBgn0029648	1018	155	93	57	148
FBgn0028369	7853	2475	2094	999	2160
FBgn0029649	948	1	0	19	1
FBgn0003285	6251	950	702	392	891
FBgn0025644	1046	13	9	15	15
FBgn0029639	729	6661	5850	1529	3466
FBgn0040354	1352	39	15	32	41
FBgn0040353	1106	10	13	11	18
FBgn0040352	915	16	12	21	17
FBgn0029664	1472	358	207	131	278
FBgn0029666	4906	1537	1295	649	1743
FBgn0029669	632	15	1	2	8
FBgn0052792	2071	14	11	28	33
FBgn0044046	1044	16	17	13	17
FBgn0023215	4556	9716	8664	3507	8860
FBgn0015286	2751	2448	2102	950	2504
FBgn0023216	2599	506	364	203	495
FBgn0029672	1978	191	139	71	229
FBgn0052791	8983	650	478	394	632
FBgn0029667	2289	40	45	54	57
FBgn0029665	774	307	220	76	232
FBgn0029663	4822	2116	1628	803	1859
FBgn0052785	72	0	0	1	0
FBgn0025118	72	0	5	2	3
FBgn0028491	4990	441	311	168	431
FBgn0028665	1792	4061	2875	1428	3921
FBgn0029681	1997	13	7	28	15
FBgn0029686	3954	142	79	40	158
FBgn0052786	3307	12	3	10	4
FBgn0052783	3306	8	7	8	17
FBgn0029687	3897	13013	10999	5368	12515
FBgn0029690	2081	0	0	0	0
FBgn0029689	2699	210	226	106	295
FBgn0029688	9245	6203	3721	2093	6374
FBgn0029685	3915	788	640	328	853
FBgn0019661	5468	347	257	183	319
FBgn0029694	1232	1	1	5	4
FBgn0000221	1450	86	50	43	56
FBgn0026084	1771	3896	3474	1554	3593
FBgn0026085	1101	15	1	10	14
FBgn0026083	11456	8284	5969	2896	7788
FBgn0066114	1560	277	213	129	279
FBgn0029697	4278	10	7	32	13
FBgn0029701	573	0	0	8	1
FBgn0029702	2383	3	5	23	5
FBgn0029706	3785	929	682	296	975
FBgn0029707	1489	8	9	16	4
FBgn0029705	1643	64	63	54	88
FBgn0040907	349	615	476	217	472
FBgn0002707	3606	160	98	61	188
FBgn0040906	521	2	7	4	10
FBgn0029703	1946	3	1	7	10
FBgn0040905	415	3	1	2	8
FBgn0040904	508	4	1	7	0
FBgn0029700	921	1	1	10	10
FBgn0052774	1987	23	8	102	50
FBgn0041252	833	1	1	6	3
FBgn0029696	522	0	0	3	2
FBgn0000635	7306	5065	4006	1921	5007
FBgn0026080	2413	400	234	166	325
FBgn0026079	2444	376	234	159	342
FBgn0004832	1178	152	110	73	154
FBgn0029693	3339	668	444	259	645
FBgn0000179	6095	2832	2324	1239	2872
FBgn0029708	4050	4183	3346	1635	4077
FBgn0029709	1172	1100	695	444	1040
FBgn0029710	1693	185	128	53	182
FBgn0029712	888	26	32	28	23
FBgn0029714	970	130	95	80	158
FBgn0029716	2246	9	3	38	13
FBgn0022768	5675	4141	3318	1482	3924
FBgn0029715	1282	1094	706	422	959
FBgn0029713	1996	162	78	71	140
FBgn0029711	3617	1126	952	524	1113
FBgn0003210	4813	1685	1036	626	1616
FBgn0052773	1868	28	29	23	33
FBgn0011760	4645	21681	18824	8022	19283
FBgn0028325	2151	7567	4942	2678	6728
FBgn0029722	1878	18	11	22	25
FBgn0029727	1985	2	2	1	9
FBgn0029729	860	0	0	0	1
FBgn0029730	1594	147	114	82	149
FBgn0029733	1868	2	3	9	4
FBgn0052772	3368	1428	1006	586	1442
FBgn0029737	2313	675	369	245	777
FBgn0004368	7229	2731	2032	1020	2702
FBgn0029740	948	8	2	11	6
FBgn0061196	1200	8	4	36	21
FBgn0029728	6151	17	17	66	15
FBgn0029726	579	0	1	7	2
FBgn0029725	1392	5	7	10	3
FBgn0025679	1032	4	2	9	0
FBgn0029724	1411	0	0	13	3
FBgn0029745	1088	113	85	43	87
FBgn0029746	19353	0	0	0	0
FBgn0003449	835	699	425	286	671
FBgn0011761	955	8	4	15	11
FBgn0029753	1867	1	1	11	3
FBgn0029755	1663	360	218	156	293
FBgn0014024	3323	1298	1166	456	1373
FBgn0029754	1883	7	6	25	9
FBgn0029752	1108	16	19	17	16
FBgn0029751	1157	12	17	17	15
FBgn0029750	2628	9	4	19	7
FBgn0029747	2124	356	208	146	337
FBgn0052767	11634	10516	8762	4288	10724
FBgn0024332	2747	69	27	29	49
FBgn0026751	2319	280	149	120	221
FBgn0010014	1234	1659	1127	613	1472
FBgn0029761	10891	16656	14131	5990	15452
FBgn0029763	4784	1147	681	420	1158
FBgn0029765	521	1228	772	523	1150
FBgn0029766	2956	2845	2113	1238	2926
FBgn0029768	3730	1150	795	402	942
FBgn0029770	1307	6	0	14	1
FBgn0029771	1892	427	338	202	413
FBgn0026702	2779	157	59	59	175
FBgn0004687	1399	3068	2326	1163	2733
FBgn0029778	1933	406	315	155	412
FBgn0052762	854	0	0	17	9
FBgn0029769	2975	1037	754	528	1250
FBgn0029762	2485	1364	946	462	1234
FBgn0029756	2614	214	149	90	219
FBgn0028474	3857	1014	701	360	954
FBgn0029785	732	11955	6922	4774	11031
FBgn0003747	1490	7	9	9	3
FBgn0000394	2053	682	549	310	730
FBgn0029791	3992	1160	786	441	1186
FBgn0029795	1786	94	63	33	108
FBgn0029798	3603	144	102	67	148
FBgn0029799	1691	604	454	252	480
FBgn0029801	2923	2911	2333	1206	3229
FBgn0029809	1433	5	8	12	10
FBgn0029810	2343	5919	4092	2148	6631
FBgn0029811	605	0	0	2	0
FBgn0029812	1077	3	1	2	0
FBgn0029814	4388	10987	8269	4300	10992
FBgn0052761	71	4	8	0	6
FBgn0029816	827	3	0	6	1
FBgn0029817	1172	3	3	1	4
FBgn0029820	2697	1151	759	503	1268
FBgn0029821	1886	39	43	22	46
FBgn0029822	3692	1735	1441	800	1992
FBgn0029823	2518	1718	1129	669	1692
FBgn0029819	2436	635	420	268	654
FBgn0014340	3014	343	182	125	285
FBgn0029818	2388	849	572	235	627
FBgn0029813	957	15	9	9	21
FBgn0029807	3578	65	32	50	44
FBgn0029804	1983	754	521	279	645
FBgn0013987	2198	2035	1537	777	2024
FBgn0029800	1360	286	183	101	208
FBgn0261383	6250	2297	1679	934	2343
FBgn0052758	4568	3829	3010	1391	3708
FBgn0053080	3705	2241	1844	702	1868
FBgn0027564	2020	252	146	114	258
FBgn0029789	3674	549	361	219	537
FBgn0046687	1838	159	92	80	182
FBgn0015794	833	538	353	265	574
FBgn0029783	1253	46	28	15	47
FBgn0029824	3152	1031	773	416	964
FBgn0029825	2374	167	131	86	205
FBgn0052756	2397	262	153	100	252
FBgn0029826	1109	53	45	19	49
FBgn0052755	1347	12	8	28	7
FBgn0029827	1158	1	0	11	9
FBgn0029828	1408	1210	761	388	804
FBgn0029830	3764	219	119	108	179
FBgn0029831	3751	226	178	130	257
FBgn0029833	1245	395	290	199	366
FBgn0029834	8374	3556	2761	1102	3432
FBgn0029835	4668	525	320	196	466
FBgn0029843	4793	1351	1005	492	975
FBgn0029849	1896	542	389	209	420
FBgn0003514	1578	3376	2544	1323	2584
FBgn0029848	1907	8	7	11	4
FBgn0040069	1864	16	4	12	12
FBgn0052751	1758	0	1	14	2
FBgn0052750	1645	39	9	25	29
FBgn0026060	2458	26	25	7	39
FBgn0029840	7097	1142	703	398	1212
FBgn0029839	1275	699	731	287	657
FBgn0029838	1363	203	211	92	210
FBgn0029837	2108	2573	2734	886	1871
FBgn0003302	1463	244	166	98	255
FBgn0029003	2082	254	211	97	255
FBgn0027546	2673	270	199	117	285
FBgn0005390	5690	14	30	37	37
FBgn0029851	1686	176	113	108	222
FBgn0015818	1643	325	282	123	337
FBgn0029853	951	239	102	90	176
FBgn0028982	6166	3380	2008	1279	3631
FBgn0029857	1463	151	95	66	131
FBgn0029858	2809	77	69	33	90
FBgn0029861	3232	437	240	153	363
FBgn0029863	1282	399	256	154	360
FBgn0029864	7435	3013	2109	1156	2813
FBgn0029866	2751	669	514	260	612
FBgn0029867	2134	792	597	353	803
FBgn0052748	73	1	1	5	2
FBgn0029873	1808	441	300	203	348
FBgn0014031	1410	1806	1076	776	1582
FBgn0000524	3828	661	611	336	792
FBgn0014026	1315	15654	10207	6613	15673
FBgn0029874	1709	139	97	52	168
FBgn0003139	1675	818	681	294	725
FBgn0003655	2022	13	4	10	6
FBgn0016974	1547	36	23	13	16
FBgn0029868	1265	3056	2233	1195	2722
FBgn0043796	2018	381	271	146	309
FBgn0031295	793	116	124	57	125
FBgn0031273	2549	1368	1145	945	520
FBgn0011244	2203	16	2	33	19
FBgn0031275	7035	1469	1220	543	1366
FBgn0031276	471	3	0	4	0
FBgn0040725	406	2	5	9	1
FBgn0031277	483	2	0	1	4
FBgn0041250	2220	11	1	36	18
FBgn0031279	4359	7	0	12	0
FBgn0051658	783	7	3	7	16
FBgn0031282	2104	84	58	23	77
FBgn0015621	1246	62	35	25	67
FBgn0010583	3735	2015	1635	695	2227
FBgn0020545	1320	715	392	255	650
FBgn0031288	1183	1	0	8	6
FBgn0031289	1185	66	41	48	57
FBgn0002936	871	0	0	0	0
FBgn0002563	2749	20890	2943	724	1660
FBgn0046113	3004	58	29	57	73
FBgn0003916	164	184	126	106	131
FBgn0031292	7072	26	22	28	21
FBgn0020305	1185	230	162	134	267
FBgn0029095	3445	1674	1206	678	1708
FBgn0031287	1310	216	152	88	201
FBgn0020304	4423	5844	4829	2443	6668
FBgn0031286	1533	193	122	84	195
FBgn0031284	1370	323	198	128	265
FBgn0031283	896	0	0	0	0
FBgn0031281	2416	162	120	85	219
FBgn0000442	2583	29	21	2	17
FBgn0026438	3996	8157	5913	2987	8440
FBgn0040106	904	1	0	7	0
FBgn0004611	7774	6503	4966	2523	6898
FBgn0053127	991	48	62	18	45
FBgn0000061	1806	18	7	32	19
FBgn0003278	3564	269	179	158	266
FBgn0002593	768	16686	8552	7468	17246
FBgn0031254	665	12	3	18	21
FBgn0031255	2259	20	12	22	22
FBgn0004583	6672	2338	1939	857	2337
FBgn0031256	1488	403	223	143	434
FBgn0031257	2642	885	485	360	734
FBgn0027592	2592	352	258	184	370
FBgn0003963	6706	686	438	276	630
FBgn0031263	853	305	143	130	284
FBgn0031265	2310	210	140	95	200
FBgn0031266	4346	1317	872	462	1238
FBgn0031268	1158	334	248	145	277
FBgn0023489	1880	783	478	245	611
FBgn0010323	2584	34	37	49	72
FBgn0013323	1128	27	27	19	36
FBgn0031267	1232	121	103	62	142
FBgn0021874	1584	107	56	61	120
FBgn0031264	3252	635	505	205	556
FBgn0005660	5407	100	86	84	74
FBgn0031260	1736	1165	602	365	993
FBgn0010602	1864	1233	855	399	964
FBgn0043364	3243	5550	4576	1713	4328
FBgn0031258	6869	2429	1808	982	2388
FBgn0015924	2848	2688	2110	1148	2888
FBgn0031253	556	73	28	18	30
FBgn0031252	1219	17	24	15	9
FBgn0031251	4436	367	171	133	296
FBgn0031250	1972	55	69	37	95
FBgn0051921	2426	141	85	121	128
FBgn0031249	970	46	30	10	48
FBgn0031248	898	53	71	37	67
FBgn0067779	4499	1251	885	476	1211
FBgn0031213	2751	1317	822	459	1282
FBgn0031214	1378	257	161	121	240
FBgn0031216	6476	2644	1928	931	2689
FBgn0031217	1583	567	423	243	513
FBgn0001142	2396	4178	3197	2127	4663
FBgn0031224	905	321	190	129	225
FBgn0031228	1135	1921	1201	669	1308
FBgn0031229	1381	793	686	339	754
FBgn0031231	903	289	162	113	276
FBgn0031233	3348	719	449	239	667
FBgn0031235	1660	165	141	70	172
FBgn0031240	2417	103	75	56	104
FBgn0003444	4008	304	205	148	331
FBgn0031247	748	198	108	70	150
FBgn0024352	2023	1312	895	507	1099
FBgn0020622	4938	1559	1316	839	1790
FBgn0017457	1655	554	456	203	464
FBgn0025686	1893	35	3	12	24
FBgn0031245	1974	1452	976	514	1296
FBgn0031244	1452	217	118	86	137
FBgn0031238	1942	286	207	117	272
FBgn0031239	7557	1788	1258	627	1665
FBgn0031232	1357	110	86	42	86
FBgn0031227	1699	91	71	29	65
FBgn0051974	1908	631	442	264	642
FBgn0051975	2206	0	0	0	0
FBgn0051976	2206	0	0	0	0
FBgn0031219	1124	39	43	28	62
FBgn0026787	2551	579	365	186	508
FBgn0002931	2225	520	365	160	354
FBgn0051973	10793	3448	2841	1251	3069
FBgn0031209	2629	20	21	13	35
FBgn0002121	5986	2797	2168	1013	2964
FBgn0036970	1440	25	30	27	31
FBgn0036974	3112	3139	2073	1151	2931
FBgn0036975	2269	2684	1494	956	2286
FBgn0024887	1453	290	162	127	281
FBgn0036977	1188	4	0	9	6
FBgn0001259	3062	59	28	26	52
FBgn0036979	1305	13	9	11	17
FBgn0036980	3355	1760	1205	722	2024
FBgn0036985	7031	142	106	152	129
FBgn0019947	2048	558	419	237	551
FBgn0036991	1866	285	232	135	346
FBgn0036993	1199	896	568	336	986
FBgn0036996	1477	3	3	11	5
FBgn0036997	1314	443	204	165	418
FBgn0036998	947	193	160	64	155
FBgn0036999	2153	262	234	97	254
