Geneid	Length	Obp56h_KO_M_1	Obp56h_KO_M_2	CSB_M_1	CSB_M_2
FBgn0031081	4851	2381	2582	1384	2005
FBgn0052826	72	2	4	24	3
FBgn0031085	1226	32	25	57	61
FBgn0062565	1164	0	0	0	2
FBgn0031088	3140	161	125	129	64
FBgn0041626	1164	0	0	3	9
FBgn0040784	466	1	0	2	0
FBgn0031086	981	0	0	14	6
FBgn0031082	1129	1	7	18	20
FBgn0031080	611	55	44	83	187
FBgn0052821	354	4	1	0	0
FBgn0053217	2227	217	293	140	234
FBgn0052350	2844	499	550	416	465
FBgn0024733	1235	4830	5663	5835	5729
FBgn0040372	7235	2236	2581	1742	2165
FBgn0000316	2110	535	528	393	592
FBgn0024989	4316	128	147	96	108
FBgn0040371	1055	72	72	38	75
FBgn0029521	1188	10	41	46	14
FBgn0004034	2038	7	3	7	18
FBgn0000022	917	2	0	4	0
FBgn0004170	1438	6	0	1	1
FBgn0002561	1097	0	1	1	7
FBgn0000137	2430	4	9	14	8
FBgn0029522	1051	0	0	0	0
FBgn0052817	885	12	17	19	15
FBgn0029524	787	35	38	13	36
FBgn0023536	2345	164	207	197	233
FBgn0023534	1344	541	433	465	392
FBgn0023535	1243	8	14	9	5
FBgn0023537	2231	1944	2191	1281	2133
FBgn0029525	4342	330	313	245	352
FBgn0029523	2309	38	37	84	61
FBgn0010019	2279	164	183	138	154
FBgn0011822	1310	0	2	0	2
FBgn0052816	2406	260	234	283	217
FBgn0040370	4896	1755	1828	1306	1648
FBgn0040373	1838	39	43	60	49
FBgn0000108	6383	43366	42738	36171	31388
FBgn0025640	1175	481	474	415	468
FBgn0025635	2256	205	244	151	228
FBgn0001341	3680	193	209	179	268
FBgn0003575	5047	1263	1474	938	1460
FBgn0025634	1550	357	429	326	332
FBgn0025638	1229	1069	1216	915	1024
FBgn0040383	1683	192	346	191	333
FBgn0040382	2193	11355	10291	9244	10610
FBgn0027343	3727	138	140	179	181
FBgn0025621	3915	571	566	537	767
FBgn0029535	475	12	11	20	22
FBgn0026874	1427	0	9	18	5
FBgn0025616	1802	0	1	0	0
FBgn0015799	3619	1048	948	707	905
FBgn0025620	1603	573	669	523	611
FBgn0015288	1100	4811	4979	6339	5932
FBgn0029532	1565	16	19	23	20
FBgn0029531	1686	14	26	16	13
FBgn0025639	6211	4733	5229	3841	4332
FBgn0002579	686	35195	29578	45788	32017
FBgn0026879	387	877	929	783	833
FBgn0029529	499	276	215	209	148
FBgn0025633	5538	1535	1665	1065	1573
FBgn0040892	516	31	44	37	44
FBgn0040341	881	39	72	35	73
FBgn0029539	647	3	10	20	10
FBgn0040339	602	204	270	227	182
FBgn0052815	3540	1242	1394	1068	1172
FBgn0040340	2503	943	1077	912	871
FBgn0040347	2155	90	54	25	67
FBgn0042146	667	2	2	10	3
FBgn0029552	590	13	0	0	4
FBgn0040337	1412	140	172	156	171
FBgn0040398	1107	3761	3634	3161	4077
FBgn0040365	489	1	1	0	1
FBgn0040397	6593	4774	3251	11826	8669
FBgn0026143	2214	193	196	184	179
FBgn0040351	2462	1138	1348	739	1204
FBgn0040338	462	0	0	8	8
FBgn0040350	2540	15	13	20	15
FBgn0040349	839	640	726	350	577
FBgn0040348	2496	703	788	332	746
FBgn0040346	1515	202	181	163	249
FBgn0040342	1545	8	9	4	16
FBgn0040345	1301	2	11	19	20
FBgn0040343	987	73	99	62	40
FBgn0052814	1664	81	112	97	77
FBgn0040364	2755	359	466	347	447
FBgn0040362	1387	3	0	5	7
FBgn0040361	1746	3	0	0	14
FBgn0040360	1413	4	9	8	8
FBgn0040359	2801	7	16	38	21
FBgn0040358	2579	5	12	58	13
FBgn0029568	1603	0	4	15	2
FBgn0040357	819	4	3	0	0
FBgn0040367	1884	3	2	10	6
FBgn0025642	1625	10	24	9	7
FBgn0004650	6581	10	16	20	17
FBgn0024362	2347	916	1054	667	890
FBgn0024361	1037	19	33	21	31
FBgn0024364	2460	313	376	236	289
FBgn0029573	690	13	8	0	29
FBgn0024987	3676	6717	6315	5031	5313
FBgn0023169	2853	1959	2231	1399	2406
FBgn0052813	5252	927	938	551	813
FBgn0024985	3799	5462	5434	4636	4429
FBgn0027794	3382	590	552	326	496
FBgn0027795	1713	74	67	55	86
FBgn0024986	831	678	822	642	666
FBgn0000826	1114	11	8	12	21
FBgn0024365	3887	950	867	612	939
FBgn0024360	2444	122	151	110	182
FBgn0024366	4720	75	75	120	69
FBgn0025641	6227	3598	3630	2974	4044
FBgn0052811	404	19	21	30	20
FBgn0028550	7025	4823	4861	4411	3841
FBgn0026876	2890	49	44	47	86
FBgn0040366	3018	121	135	93	125
FBgn0040363	2159	2	2	5	5
FBgn0040368	1638	0	4	16	2
